statement,label,subject,subject_category,template_id,family,axis
"Under the shade of the old oak, the man rested through the warm afternoon.",1,man,human,rest_01,rest,neutral
"Under the shade of the old oak, the woman rested through the warm afternoon.",1,woman,human,rest_01,rest,neutral
"Under the shade of the old oak, the child rested through the warm afternoon.",1,child,human,rest_01,rest,neutral
"Under the shade of the old oak, the boy rested through the warm afternoon.",1,boy,human,rest_01,rest,neutral
"Under the shade of the old oak, the girl rested through the warm afternoon.",1,girl,human,rest_01,rest,neutral
"Under the shade of the old oak, the farmer rested through the warm afternoon.",1,farmer,human,rest_01,rest,neutral
"Under the shade of the old oak, the nurse rested through the warm afternoon.",1,nurse,human,rest_01,rest,neutral
"Under the shade of the old oak, the teacher rested through the warm afternoon.",1,teacher,human,rest_01,rest,neutral
"Under the shade of the old oak, the doctor rested through the warm afternoon.",1,doctor,human,rest_01,rest,neutral
"Under the shade of the old oak, the student rested through the warm afternoon.",1,student,human,rest_01,rest,neutral
"Under the shade of the old oak, the soldier rested through the warm afternoon.",1,soldier,human,rest_01,rest,neutral
"Under the shade of the old oak, the hiker rested through the warm afternoon.",1,hiker,human,rest_01,rest,neutral
"Under the shade of the old oak, the villager rested through the warm afternoon.",1,villager,human,rest_01,rest,neutral
"Under the shade of the old oak, the fisherman rested through the warm afternoon.",1,fisherman,human,rest_01,rest,neutral
"Under the shade of the old oak, the carpenter rested through the warm afternoon.",1,carpenter,human,rest_01,rest,neutral
"Under the shade of the old oak, the toddler rested through the warm afternoon.",1,toddler,human,rest_01,rest,neutral
"Under the shade of the old oak, the grandmother rested through the warm afternoon.",1,grandmother,human,rest_01,rest,neutral
"Under the shade of the old oak, the grandfather rested through the warm afternoon.",1,grandfather,human,rest_01,rest,neutral
"Under the shade of the old oak, the worker rested through the warm afternoon.",1,worker,human,rest_01,rest,neutral
"Under the shade of the old oak, the librarian rested through the warm afternoon.",1,librarian,human,rest_01,rest,neutral
"Under the shade of the old oak, the baker rested through the warm afternoon.",1,baker,human,rest_01,rest,neutral
"Under the shade of the old oak, the tailor rested through the warm afternoon.",1,tailor,human,rest_01,rest,neutral
"Under the shade of the old oak, the miner rested through the warm afternoon.",1,miner,human,rest_01,rest,neutral
"Under the shade of the old oak, the sailor rested through the warm afternoon.",1,sailor,human,rest_01,rest,neutral
"Under the shade of the old oak, the painter rested through the warm afternoon.",1,painter,human,rest_01,rest,neutral
"Under the shade of the old oak, the plumber rested through the warm afternoon.",1,plumber,human,rest_01,rest,neutral
"Under the shade of the old oak, the waiter rested through the warm afternoon.",1,waiter,human,rest_01,rest,neutral
"Under the shade of the old oak, the clerk rested through the warm afternoon.",1,clerk,human,rest_01,rest,neutral
"Under the shade of the old oak, the guard rested through the warm afternoon.",1,guard,human,rest_01,rest,neutral
"Under the shade of the old oak, the mechanic rested through the warm afternoon.",1,mechanic,human,rest_01,rest,neutral
"Under the shade of the old oak, the dancer rested through the warm afternoon.",1,dancer,human,rest_01,rest,neutral
"Under the shade of the old oak, the singer rested through the warm afternoon.",1,singer,human,rest_01,rest,neutral
"Under the shade of the old oak, the banker rested through the warm afternoon.",1,banker,human,rest_01,rest,neutral
